city,population,GDP,env_invest
北京,1213,93533200,493300
天津,959,50504000,1217394
石家,955,23607230,0
太原,355,12549447,234307
呼和,221,11011331,29348
沈阳,710,32211508,141618
大连,578,31306789,191069
长春,746,20890859,0
哈尔,987,24368044,341754
上海,1379,121888500,3661231
南京,617,32837300,996994
杭州,672,41001722,0
宁波,565,34350042,224191
合肥,479,13346102,43819
福州,630,19745818,74600
厦门,167,13878520,272202
南昌,491,13898920,61164
济南,605,25628135,0
青岛,758,37865156,653008
郑州,707,24867470,0
武汉,828,31419048,72382
长沙,637,21902548,158808
广州,773,71091814,0
深圳,212,68015706,12534
南宁,684,10690099,261235
海口,153,3936858,16831
重庆,3235,41225100,619723
成都,1112,33241677,0
贵阳,360,6937170,0
昆明,518,14050473,427727
拉萨,62,1219100,885
西安,764,17637300,12326
兰州,319,7327581,35744
西宁,215,3424581,48642
银川,149,4086009,26056
乌鲁,231,8202800,101452
